t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
21240,18.22,84.8,18.22,73.6,1,0,0
21300,18.35,84.2,18.35,73.1,1,0,0
21360,18.48,83.6,18.48,72.6,1,0,0
21420,18.61,83.1,18.61,72.1,1,0,0
21480,18.74,82.5,18.74,71.7,1,0,0
21540,18.87,81.9,18.87,71.2,1,0,0
21600,19.00,81.4,19.00,70.7,1,0,0
21660,19.02,81.3,19.02,70.6,1,0,0
21720,19.03,81.2,19.03,70.6,1,0,0
21780,19.05,81.1,19.05,70.5,1,0,0
21840,19.07,72.3,19.07,70.4,1,0,1
21900,19.08,72.6,19.08,70.4,0,0,1
21960,19.10,72.5,19.10,70.3,0,0,1
22020,19.12,72.5,19.12,70.2,0,0,1
22080,19.13,72.4,19.13,70.2,0,0,1
22140,19.15,72.3,19.15,70.1,0,0,1
22200,19.17,72.2,19.17,70.0,0,0,1
22260,19.18,72.2,19.18,70.0,0,0,1
22320,19.20,72.1,19.20,69.9,0,0,1
22380,19.22,72.0,19.22,69.8,0,0,1
22440,19.23,72.0,19.23,69.8,0,0,1
22500,19.25,71.9,19.25,69.7,0,0,1
22560,19.27,71.8,19.27,69.6,0,0,1
22620,19.48,100.0,19.28,69.6,0,0,0
22680,19.31,79.9,19.30,69.5,1,0,0
22740,19.33,79.8,19.31,69.4,1,0,0
22800,19.35,79.7,19.33,69.4,1,0,0
22860,19.37,79.6,19.35,69.3,1,0,0
22920,19.38,79.6,19.36,69.2,1,0,0
22980,19.40,79.5,19.38,69.2,1,0,0
23040,19.42,79.4,19.40,69.1,1,0,0
23100,19.44,79.3,19.41,69.0,1,0,0
23160,19.46,79.2,19.43,69.0,1,0,0
23220,19.48,79.1,19.45,68.9,1,0,0
23280,19.50,79.0,19.46,68.8,1,0,0
23340,19.51,78.9,19.48,68.8,1,0,0
23400,19.53,78.9,19.50,68.7,1,0,0
23460,19.63,78.5,19.59,68.4,1,0,0
23520,19.75,78.1,19.71,68.1,1,0,0
23580,19.87,77.7,19.82,67.8,1,0,0
23640,19.98,77.4,19.94,67.5,1,0,0
23700,20.10,77.0,20.05,67.2,1,0,0
23760,20.22,76.6,20.16,66.9,1,0,0
23820,20.33,76.2,20.28,66.6,1,0,0
23880,20.45,75.8,20.39,66.3,1,0,0
23940,20.57,75.4,20.51,66.0,1,0,0
24000,20.69,75.0,20.62,65.7,1,0,0
24060,20.80,74.7,20.73,65.4,1,0,0
24120,22.07,100.0,20.85,65.1,0,0,0
24180,22.24,100.0,20.96,64.8,0,0,0
24240,22.41,100.0,21.08,64.5,0,0,0
24300,21.21,66.1,21.19,64.2,0,0,1
24360,21.32,65.8,21.30,63.9,0,0,1
24420,21.44,65.5,21.42,63.6,0,0,1
24480,21.55,65.1,21.53,63.3,0,0,1
24540,21.67,64.8,21.65,63.0,0,0,1
24600,21.78,64.5,21.76,62.7,0,0,1
24660,21.90,64.2,21.87,62.4,0,0,1
24720,22.01,63.9,21.99,62.1,0,0,1
24780,22.12,63.3,22.10,61.8,1,0,1
24840,22.24,63.0,22.22,61.5,1,0,1
24900,22.35,62.6,22.33,61.2,1,0,1
24960,22.47,62.3,22.44,60.9,1,0,1
25020,22.58,62.0,22.56,60.6,1,0,1
25080,22.70,61.7,22.67,60.3,1,0,1
25140,22.81,61.4,22.79,60.0,1,0,1
25200,22.93,61.1,22.90,59.7,1,0,1
25260,22.98,61.0,22.95,59.6,1,0,1
25320,23.03,60.9,23.00,59.6,1,0,1
25380,23.08,60.9,23.05,59.5,1,0,1
25440,23.13,60.8,23.10,59.5,1,0,1
25500,23.18,60.8,23.15,59.4,1,0,1
25560,23.23,60.7,23.20,59.4,1,0,1
25620,23.28,60.6,23.25,59.3,1,0,1
25680,23.33,60.6,23.30,59.3,1,0,1
25740,23.38,60.5,23.35,59.2,1,0,1
25800,23.43,60.5,23.40,59.2,1,0,1
25860,23.49,60.4,23.45,59.1,1,0,1
25920,23.54,60.3,23.50,59.1,1,0,1
25980,23.59,60.3,23.55,59.0,1,0,1
26040,23.64,60.2,23.60,59.0,1,0,1
26100,23.69,60.1,23.65,58.9,1,0,1
26160,23.74,60.1,23.70,58.8,1,0,1
26220,23.79,60.0,23.75,58.8,1,0,1
26280,23.84,60.0,23.80,58.7,1,0,1
26340,23.90,60.1,23.85,58.7,0,0,1
26400,23.95,60.1,23.90,58.6,0,0,1
26460,28.38,100.0,23.95,58.6,0,0,0
26520,28.53,100.0,24.00,58.5,0,0,0
26580,28.69,100.0,24.05,58.5,0,0,0
26640,28.85,100.0,24.10,58.4,0,0,0
26700,29.01,100.0,24.15,58.4,0,0,0
26760,29.17,100.0,24.20,58.3,0,0,0
26820,29.33,100.0,24.25,58.3,0,0,0
26880,29.50,100.0,24.30,58.2,0,0,0
26940,29.66,100.0,24.35,58.2,0,0,0
27000,24.72,64.4,24.40,58.1,1,0,0
27060,24.79,64.2,24.46,58.0,1,0,0
27120,24.85,64.1,24.52,57.9,1,0,0
27180,24.92,63.9,24.58,57.7,1,0,0
27240,24.70,58.7,24.64,57.6,1,0,1
27300,24.76,58.6,24.70,57.5,1,0,1
27360,24.82,58.4,24.76,57.4,1,0,1
27420,24.88,58.3,24.82,57.2,1,0,1
27480,24.95,58.2,24.88,57.1,1,0,1
27540,25.01,58.0,24.94,57.0,1,0,1
27600,25.07,57.9,25.00,56.9,1,0,1
27660,25.13,57.8,25.06,56.7,1,0,1
27720,25.19,57.6,25.12,56.6,1,0,1
27780,25.25,57.5,25.18,56.5,1,0,1
27840,25.31,57.4,25.24,56.4,1,0,1
27900,25.38,57.2,25.30,56.2,1,0,1
27960,25.44,57.1,25.36,56.1,1,0,1
28020,25.86,61.4,25.42,56.0,1,0,0
28080,25.93,61.3,25.48,55.9,1,0,0
28140,26.00,61.1,25.54,55.8,1,0,0
28200,26.07,60.9,25.60,55.6,1,0,0
28260,33.75,100.0,25.66,55.5,0,0,0
28320,33.95,100.0,25.72,55.4,0,0,0
28380,34.15,100.0,25.78,55.3,0,0,0
28440,34.35,100.0,25.84,55.1,0,0,0
28500,34.55,100.0,25.90,55.0,0,0,0
28560,34.75,100.0,25.96,54.9,0,0,0
28620,34.95,100.0,26.02,54.8,0,0,0
28680,35.16,99.6,26.08,54.6,0,0,0
28740,35.36,98.4,26.14,54.5,0,0,0
