t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
46680,31.98,48.5,31.54,49.1,1,1,1
46740,32.02,48.5,31.58,49.0,1,1,1
46800,32.04,48.5,31.60,49.0,1,1,1
46860,32.04,48.4,31.59,49.0,1,1,1
46920,32.03,48.4,31.59,49.0,1,1,1
46980,32.03,48.4,31.59,49.0,1,1,1
47040,32.03,48.4,31.58,49.0,1,1,1
47100,32.02,48.4,31.58,48.9,1,1,1
47160,32.02,48.4,31.58,48.9,1,1,1
47220,32.01,48.4,31.57,48.9,1,1,1
47280,32.01,48.4,31.57,48.9,1,1,1
47340,32.01,48.4,31.57,48.9,1,1,1
47400,32.00,48.4,31.56,48.9,1,1,1
47460,32.00,48.3,31.56,48.9,1,1,1
47520,32.00,48.3,31.56,48.9,1,1,1
47580,31.99,48.3,31.55,48.9,1,1,1
47640,31.99,48.3,31.55,48.9,1,1,1
47700,31.99,48.3,31.55,48.8,1,1,1
47760,31.98,48.3,31.54,48.8,1,1,1
47820,31.98,48.3,31.54,48.8,1,1,1
47880,31.98,48.3,31.54,48.8,1,1,1
47940,31.97,48.3,31.53,48.8,1,1,1
48000,31.97,48.3,31.53,48.8,1,1,1
48060,31.97,48.3,31.53,48.8,1,1,1
48120,31.96,48.2,31.52,48.8,1,1,1
48180,31.96,48.2,31.52,48.8,1,1,1
48240,31.96,48.2,31.52,48.8,1,1,1
48300,31.95,48.2,31.51,48.7,1,1,1
48360,31.95,48.2,31.51,48.7,1,1,1
48420,31.94,48.2,31.51,48.7,1,1,1
48480,31.94,48.2,31.50,48.7,1,1,1
48540,31.94,48.2,31.50,48.7,1,1,1
48600,31.91,48.2,31.48,48.7,1,1,1
48660,31.87,48.3,31.43,48.8,1,1,1
48720,31.83,48.4,31.39,48.9,1,1,1
48780,31.78,48.5,31.35,49.0,1,1,1
48840,31.74,48.6,31.31,49.1,1,1,1
48900,31.69,48.7,31.26,49.2,1,1,1
48960,31.65,48.7,31.22,49.3,1,1,1
49020,31.61,48.8,31.18,49.3,1,1,1
49080,31.56,48.9,31.13,49.4,1,1,1
49140,31.52,49.0,31.09,49.5,1,1,1
49200,31.48,49.1,31.05,49.6,1,1,1
49260,31.43,49.2,31.00,49.7,1,1,1
49320,31.39,49.3,30.96,49.8,1,1,1
49380,31.35,49.4,30.92,49.9,1,1,1
49440,31.30,49.4,30.87,50.0,1,1,1
49500,31.26,49.5,30.83,50.0,1,1,1
49560,31.21,49.6,30.79,50.1,1,1,1
49620,31.17,49.7,30.74,50.2,1,1,1
49680,31.13,49.8,30.70,50.3,1,1,1
49740,31.08,49.9,30.66,50.4,1,1,1
49800,31.04,50.0,30.61,50.5,1,1,1
49860,31.00,50.1,30.57,50.6,1,1,1
49920,30.95,50.1,30.53,50.6,1,1,1
49980,30.91,50.2,30.49,50.7,1,1,1
50040,30.86,50.3,30.44,50.8,1,1,1
50100,30.82,50.4,30.40,50.9,1,1,1
50160,30.78,50.5,30.36,51.0,1,1,1
50220,30.73,50.6,30.31,51.1,1,1,1
50280,30.69,50.7,30.27,51.2,1,1,1
50340,30.65,50.8,30.23,51.2,1,1,1
50400,30.62,50.8,30.20,51.3,1,1,1
50460,30.62,50.7,30.20,51.2,1,1,1
50520,30.63,50.7,30.21,51.1,1,1,1
50580,30.63,50.6,30.21,51.1,1,1,1
50640,30.63,50.6,30.21,51.0,1,1,1
50700,30.63,50.5,30.22,51.0,1,1,1
50760,30.64,50.4,30.22,50.9,1,1,1
50820,30.64,50.4,30.22,50.8,1,1,1
50880,30.64,50.3,30.23,50.8,1,1,1
50940,30.64,50.3,30.23,50.7,1,1,1
51000,30.65,50.2,30.23,50.6,1,1,1
51060,30.65,50.1,30.24,50.6,1,1,1
51120,30.65,50.1,30.24,50.5,1,1,1
51180,30.65,50.0,30.24,50.4,1,1,1
51240,30.66,50.0,30.25,50.4,1,1,1
51300,30.66,49.9,30.25,50.3,1,1,1
51360,30.66,49.8,30.25,50.3,1,1,1
51420,30.66,49.8,30.26,50.2,1,1,1
51480,30.67,49.7,30.26,50.1,1,1,1
51540,30.67,49.7,30.26,50.1,1,1,1
51600,30.67,49.6,30.27,50.0,1,1,1
51660,30.67,49.5,30.27,49.9,1,1,1
51720,30.68,49.5,30.27,49.9,1,1,1
51780,30.68,49.4,30.28,49.8,1,1,1
51840,30.68,49.4,30.28,49.7,1,1,1
51900,30.68,49.3,30.28,49.7,1,1,1
51960,30.68,49.2,30.29,49.6,1,1,1
52020,30.69,49.2,30.29,49.6,1,1,1
52080,30.69,49.1,30.30,49.5,1,1,1
52140,30.69,49.1,30.30,49.4,1,1,1
52200,30.68,49.1,30.28,49.5,1,1,1
52260,30.65,49.2,30.25,49.6,1,1,1
52320,30.61,49.3,30.22,49.7,1,1,1
52380,30.58,49.5,30.19,49.8,1,1,1
52440,30.55,49.6,30.16,50.0,1,1,1
52500,30.52,49.7,30.13,50.1,1,1,1
52560,30.49,49.8,30.10,50.2,1,1,1
52620,30.46,50.0,30.07,50.3,1,1,1
52680,30.43,50.1,30.04,50.5,1,1,1
52740,30.40,50.2,30.01,50.6,1,1,1
52800,30.37,50.3,29.98,50.7,1,1,1
52860,30.33,50.5,29.95,50.8,1,1,1
52920,30.30,50.6,29.92,50.9,1,1,1
52980,30.27,50.7,29.89,51.1,1,1,1
53040,30.24,50.9,29.86,51.2,1,1,1
53100,30.21,51.0,29.83,51.3,1,1,1
53160,30.18,51.1,29.80,51.4,1,1,1
53220,30.15,51.2,29.77,51.6,1,1,1
53280,30.12,51.4,29.74,51.7,1,1,1
53340,30.09,51.5,29.71,51.8,1,1,1
53400,30.05,51.6,29.68,51.9,1,1,1
53460,30.02,51.7,29.65,52.1,1,1,1
53520,29.99,51.9,29.62,52.2,1,1,1
53580,29.96,52.0,29.59,52.3,1,1,1
53640,29.93,52.1,29.56,52.4,1,1,1
53700,30.78,51.4,29.53,52.5,1,1,0
53760,30.75,51.6,29.50,52.7,1,1,0
53820,30.71,51.7,29.47,52.8,1,1,0
53880,30.68,51.8,29.44,52.9,1,1,0
53940,30.64,52.0,29.41,53.0,1,1,0
54000,30.61,52.0,29.39,53.1,1,1,0
54060,30.58,52.0,29.36,53.1,1,1,0
54120,30.55,52.1,29.33,53.1,1,1,0
54180,30.52,52.1,29.31,53.1,1,1,0
