t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
9600,9.80,96.2,9.80,93.3,1,1,1
9660,9.80,96.2,9.80,93.3,1,1,1
9720,9.80,96.2,9.80,93.3,1,1,1
9780,9.80,96.2,9.80,93.3,1,1,1
9840,9.80,96.2,9.80,93.3,1,1,1
9900,9.80,96.2,9.80,93.3,1,1,1
9960,9.80,96.3,9.80,93.3,1,1,1
10020,9.80,96.3,9.80,93.3,1,1,1
10080,9.80,96.3,9.80,93.3,1,1,1
10140,9.80,96.3,9.80,93.3,1,1,1
10200,9.80,96.3,9.80,93.3,1,1,1
10260,9.80,96.3,9.80,93.3,1,1,1
10320,9.80,96.3,9.80,93.4,1,1,1
10380,9.80,96.3,9.80,93.4,1,1,1
10440,9.80,96.3,9.80,93.4,1,1,1
10500,9.80,96.3,9.80,93.4,1,1,1
10560,9.80,96.3,9.80,93.4,1,1,1
10620,9.80,96.3,9.80,93.4,1,1,1
10680,9.80,96.3,9.80,93.4,1,1,1
10740,9.80,96.3,9.80,93.4,1,1,1
10800,9.84,96.3,9.84,93.4,1,1,1
10860,9.87,96.4,9.87,93.4,1,1,1
10920,9.90,96.4,9.90,93.4,1,1,1
10980,9.93,96.4,9.93,93.5,1,1,1
11040,9.96,96.4,9.96,93.5,1,1,1
11100,9.99,96.4,9.99,93.5,1,1,1
11160,10.03,96.4,10.03,93.5,1,1,1
11220,10.06,96.4,10.06,93.5,1,1,1
11280,10.09,96.4,10.09,93.5,1,1,1
11340,10.12,96.4,10.12,93.5,1,1,1
11400,10.15,96.4,10.15,93.5,1,1,1
11460,10.18,96.4,10.18,93.6,1,1,1
11520,10.22,96.4,10.22,93.6,1,1,1
11580,10.25,96.4,10.25,93.6,1,1,1
11640,10.28,96.4,10.28,93.6,1,1,1
11700,10.31,96.5,10.31,93.6,1,1,1
11760,10.34,96.5,10.34,93.6,1,1,1
11820,10.37,96.5,10.37,93.6,1,1,1
11880,10.41,96.5,10.41,93.7,1,1,1
11940,10.44,96.5,10.44,93.7,1,1,1
12000,10.47,96.5,10.47,93.7,1,1,1
12060,10.50,96.5,10.50,93.7,1,1,1
12120,10.53,96.5,10.53,93.7,1,1,1
12180,10.56,96.5,10.56,93.7,1,1,1
12240,10.60,96.5,10.60,93.7,1,1,1
12300,10.63,96.5,10.63,93.7,1,1,1
12360,10.66,96.5,10.66,93.8,1,1,1
12420,10.69,96.5,10.69,93.8,1,1,1
12480,10.72,96.5,10.72,93.8,1,1,1
12540,10.75,96.6,10.75,93.8,1,1,1
12600,10.79,96.6,10.79,93.8,1,1,1
12660,10.82,96.6,10.82,93.8,1,1,1
12720,10.85,96.6,10.85,93.8,1,1,1
12780,10.88,96.6,10.88,93.9,1,1,1
12840,10.91,96.6,10.91,93.9,1,1,1
12900,10.94,96.6,10.94,93.9,1,1,1
12960,10.98,96.6,10.98,93.9,1,1,1
13020,11.01,96.6,11.01,93.9,1,1,1
13080,11.04,96.6,11.04,93.9,1,1,1
13140,11.07,96.6,11.07,93.9,1,1,1
13200,11.10,96.6,11.10,93.9,1,1,1
13260,11.13,96.6,11.13,94.0,1,1,1
13320,11.17,96.7,11.17,94.0,1,1,1
13380,11.20,96.7,11.20,94.0,1,1,1
13440,11.23,96.7,11.23,94.0,1,1,1
13500,11.26,96.7,11.26,94.0,1,1,1
13560,11.29,96.7,11.29,94.0,1,1,1
13620,11.32,96.7,11.32,94.0,1,1,1
13680,11.36,96.7,11.36,94.1,1,1,1
13740,11.39,96.7,11.39,94.1,1,1,1
13800,11.42,96.7,11.42,94.1,1,1,1
13860,11.45,96.7,11.45,94.1,1,1,1
13920,11.48,96.7,11.48,94.1,1,1,1
13980,11.51,96.7,11.51,94.1,1,1,1
14040,11.55,96.7,11.55,94.1,1,1,1
14100,11.58,96.8,11.58,94.1,1,1,1
14160,11.61,96.8,11.61,94.2,1,1,1
14220,11.64,96.8,11.64,94.2,1,1,1
14280,11.67,96.8,11.67,94.2,1,1,1
14340,11.71,96.8,11.71,94.2,1,1,1
14400,11.78,96.8,11.78,94.2,1,1,1
14460,11.86,96.8,11.86,94.2,1,1,1
14520,11.93,96.8,11.93,94.2,1,1,1
14580,12.00,96.7,12.00,94.2,1,1,1
14640,12.08,96.7,12.08,94.2,1,1,1
14700,12.15,96.7,12.15,94.2,1,1,1
14760,12.22,96.7,12.22,94.2,1,1,1
14820,12.30,96.7,12.30,94.2,1,1,1
14880,12.37,96.7,12.37,94.2,1,1,1
14940,12.44,96.7,12.44,94.2,1,1,1
15000,12.52,96.7,12.52,94.2,1,1,1
15060,12.59,96.7,12.59,94.2,1,1,1
15120,12.66,96.7,12.66,94.2,1,1,1
15180,12.74,96.7,12.74,94.2,1,1,1
15240,12.81,96.7,12.81,94.3,1,1,1
15300,12.88,96.6,12.88,94.3,1,1,1
15360,12.96,96.6,12.96,94.3,1,1,1
15420,13.03,96.6,13.03,94.3,1,1,1
15480,13.10,96.6,13.10,94.3,1,1,1
15540,13.18,96.6,13.18,94.3,1,1,1
15600,13.25,96.6,13.25,94.3,1,1,1
15660,13.32,96.6,13.32,94.3,1,1,1
15720,13.40,96.6,13.40,94.3,1,1,1
15780,13.47,96.6,13.47,94.3,1,1,1
15840,13.54,96.6,13.54,94.3,1,1,1
15900,13.62,96.6,13.62,94.3,1,1,1
15960,13.69,96.6,13.69,94.3,1,1,1
16020,13.76,96.5,13.76,94.3,1,1,1
16080,13.84,96.5,13.84,94.3,1,1,1
16140,13.93,96.4,13.93,94.2,1,1,1
16200,14.14,95.8,14.14,93.6,1,1,1
16260,14.35,95.2,14.35,93.0,1,1,1
16320,14.56,94.5,14.56,92.4,1,1,1
16380,14.77,93.9,14.77,91.8,1,1,1
16440,14.98,93.2,14.98,91.2,1,1,1
16500,15.19,92.6,15.19,90.5,1,1,1
16560,15.40,91.9,15.40,89.9,1,1,1
16620,15.61,91.3,15.61,89.3,1,1,1
16680,15.82,90.7,15.82,88.7,1,1,1
16740,16.03,90.0,16.03,88.1,1,1,1
16800,16.24,89.4,16.24,87.5,1,1,1
16860,16.45,88.7,16.45,86.9,1,1,1
16920,16.66,88.1,16.66,86.2,1,1,1
16980,16.87,91.9,16.87,85.6,1,1,0
17040,17.08,91.2,17.08,85.0,1,1,0
17100,17.29,90.5,17.29,84.4,1,1,0
17160,17.50,89.8,17.50,83.8,1,1,0
17220,17.71,89.1,17.71,83.2,1,1,0
17280,17.92,88.5,17.92,82.6,1,1,0
17340,18.13,87.8,18.13,82.0,1,1,0
17400,18.34,87.1,18.34,81.3,1,1,0
17460,18.55,86.4,18.55,80.7,1,1,0
17520,18.76,85.7,18.76,80.1,1,1,0
17580,18.97,85.0,18.97,79.5,1,1,0
17640,19.18,84.3,19.18,78.9,1,1,0
17700,19.39,88.7,19.39,78.3,0,1,0
17760,19.60,87.9,19.60,77.7,0,1,0
17820,19.81,87.2,19.81,77.0,0,1,0
17880,20.02,86.4,20.02,76.4,0,1,0
17940,20.21,85.8,20.21,75.9,0,1,0
18000,20.26,85.5,20.26,75.7,0,1,0
18060,20.31,85.3,20.31,75.4,0,1,0
18120,20.37,85.0,20.37,75.2,0,1,0
18180,20.42,84.8,20.42,75.0,0,1,0
18240,20.47,84.5,20.47,74.8,0,1,0
18300,20.53,84.3,20.53,74.6,0,1,0
18360,20.58,84.0,20.58,74.4,0,1,0
18420,20.63,83.8,20.63,74.2,0,1,0
18480,20.69,83.5,20.69,74.0,0,1,0
18540,20.74,83.3,20.74,73.7,0,1,0
18600,20.79,83.0,20.79,73.5,0,1,0
18660,20.85,82.8,20.85,73.3,0,1,0
18720,20.90,82.6,20.90,73.1,0,1,0
18780,20.95,82.3,20.95,72.9,0,1,0
18840,21.01,82.1,21.01,72.7,0,1,0
18900,21.06,81.8,21.06,72.5,0,1,0
18960,21.11,81.6,21.11,72.2,0,1,0
19020,21.17,81.3,21.17,72.0,0,1,0
19080,21.22,81.1,21.22,71.8,0,1,0
19140,21.27,80.8,21.27,71.6,0,1,0
19200,21.33,80.6,21.33,71.4,0,1,0
19260,21.38,80.4,21.38,71.2,0,1,0
19320,21.43,80.1,21.43,71.0,0,1,0
19380,21.49,79.9,21.49,70.8,0,1,0
19440,21.54,79.6,21.54,70.5,0,1,0
19500,21.59,79.4,21.59,70.3,0,1,0
19560,21.65,79.1,21.65,70.1,0,1,0
19620,21.70,78.9,21.70,69.9,0,1,0
19680,21.75,78.6,21.75,69.7,0,1,0
19740,21.80,78.4,21.80,69.5,0,1,0
19800,21.83,78.4,21.83,69.5,0,1,0
19860,21.85,78.4,21.85,69.4,0,1,0
19920,21.87,78.3,21.87,69.4,0,1,0
19980,21.90,78.3,21.90,69.4,0,1,0
20040,21.92,78.2,21.92,69.4,0,1,0
20100,21.94,78.2,21.94,69.3,0,1,0
