t_s,T_in_C,RH_in_pct
51240,33.41,38.0
51300,33.41,38.2
51360,33.42,38.3
51420,33.43,38.4
51480,33.43,38.6
51540,33.44,38.7
51600,33.44,38.8
51660,33.45,39.0
51720,33.45,39.1
51780,33.46,39.2
51840,33.47,39.4
51900,33.47,39.5
51960,33.48,39.7
52020,33.48,39.8
52080,33.49,39.9
52140,33.49,40.0
52200,33.45,40.1
52260,33.42,40.1
52320,33.39,40.1
52380,33.35,40.1
52440,33.32,40.1
52500,33.28,40.1
52560,33.25,40.1
52620,33.21,40.1
52680,33.18,40.2
52740,33.14,40.2
52800,33.11,40.2
52860,33.08,40.2
52920,33.04,40.2
52980,33.01,40.2
53040,32.97,40.2
53100,32.94,40.3
53160,32.90,40.3
53220,32.87,40.3
53280,32.83,40.3
53340,32.80,40.3
53400,32.76,40.3
53460,32.73,40.3
53520,32.70,40.4
53580,32.66,40.4
53640,32.63,40.4
53700,32.59,40.4
53760,32.56,40.4
53820,32.52,40.4
53880,32.49,40.4
53940,32.46,40.5
54000,32.46,40.5
54060,32.46,40.6
54120,32.45,40.6
54180,32.45,40.7
54240,32.45,40.7
54300,32.45,40.8
54360,32.45,40.8
54420,32.45,40.9
54480,32.45,41.0
54540,32.45,41.0
54600,32.44,41.1
54660,32.44,41.1
54720,32.44,41.2
54780,32.44,41.2
54840,32.44,41.3
54900,32.44,41.3
54960,32.44,41.4
55020,32.43,41.5
55080,32.43,41.5
55140,32.43,41.6
55200,32.43,41.6
55260,32.43,41.7
55320,32.43,41.7
55380,32.43,41.8
55440,32.42,41.8
55500,32.42,41.9
55560,32.42,42.0
55620,32.42,42.0
55680,32.42,42.1
55740,32.41,42.1
55800,32.38,42.1
55860,32.34,42.1
55920,32.31,42.1
55980,32.27,42.1
56040,32.24,42.1
56100,32.20,42.1
56160,32.17,42.2
56220,32.13,42.2
56280,32.10,42.2
56340,32.06,42.2
56400,32.03,42.2
56460,31.99,42.2
56520,31.96,42.2
56580,31.92,42.2
56640,31.89,42.2
56700,31.85,42.2
56760,31.82,42.2
56820,31.78,42.2
56880,31.75,42.2
56940,31.71,42.2
57000,31.68,42.2
57060,31.65,42.2
57120,31.61,42.2
57180,31.58,42.2
57240,31.54,42.2
57300,31.51,42.3
57360,31.47,42.3
57420,31.44,42.3
57480,31.40,42.3
57540,31.36,42.3
57600,31.32,42.3
57660,31.28,42.3
57720,31.24,42.4
57780,31.20,42.4
57840,31.16,42.4
57900,31.12,42.5
57960,31.07,42.5
58020,31.03,42.5
58080,30.99,42.6
58140,30.95,42.6
58200,30.91,42.6
58260,30.87,42.7
58320,30.82,42.7
58380,30.78,42.7
58440,30.74,42.8
58500,30.70,42.8
58560,30.66,42.8
58620,30.62,42.9
58680,30.57,42.9
58740,30.53,42.9
58800,30.49,43.0
58860,30.45,43.0
58920,30.41,43.0
58980,30.37,43.1
59040,30.32,43.1
59100,30.28,43.1
59160,30.24,43.1
59220,30.20,43.2
59280,30.16,43.2
59340,30.12,43.2
59400,30.08,43.2
59460,30.04,43.2
59520,30.00,43.2
59580,29.96,43.3
59640,29.92,43.3
59700,29.89,43.3
59760,30.36,43.9
59820,30.32,43.9
59880,30.27,43.9
59940,30.23,43.9
60000,30.19,44.0
60060,30.15,44.0
60120,30.10,44.0
60180,30.06,44.0
60240,30.02,44.0
60300,29.98,44.0
60360,29.93,44.1
60420,29.89,44.1
60480,29.85,44.1
60540,29.81,44.1
60600,29.77,44.1
60660,29.72,44.2
60720,29.68,44.2
60780,29.64,44.2
60840,29.60,44.2
60900,29.55,44.2
60960,29.51,44.2
61020,29.47,44.3
61080,29.43,44.3
61140,29.39,44.3
61200,29.36,44.5
61260,29.33,44.6
61320,29.30,44.8
61380,29.27,44.9
61440,29.24,45.1
61500,29.22,45.2
61560,29.19,45.4
61620,29.16,45.5
61680,29.13,45.7
61740,29.10,45.9
61800,29.07,46.0
61860,29.04,46.2
61920,29.01,46.3
61980,28.99,46.5
62040,28.96,46.6
62100,28.93,46.8
62160,28.90,46.9
62220,28.87,47.1
62280,28.84,47.2
62340,28.81,47.4
62400,28.78,47.6
62460,28.76,47.7
62520,28.73,47.9
62580,28.70,48.0
62640,28.67,48.2
62700,28.64,48.3
62760,28.61,48.5
62820,28.59,48.6
62880,28.56,48.8
62940,28.53,48.9
63000,28.49,49.0
63060,28.45,49.1
63120,28.41,49.2
63180,28.37,49.3
63240,28.33,49.4
63300,28.30,49.5
63360,28.26,49.6
63420,28.22,49.7
63480,28.18,49.7
63540,28.14,49.8
63600,28.11,49.9
63660,28.07,50.0
63720,28.03,50.1
63780,27.99,50.2
63840,28.29,52.2
63900,28.25,52.3
63960,28.20,52.4
64020,28.16,52.5
64080,28.12,52.6
64140,28.08,52.7
64200,28.03,52.8
64260,27.99,52.9
64320,27.95,53.0
64380,27.91,53.1
64440,27.86,53.3
64500,27.82,53.4
64560,27.78,53.5
64620,27.74,53.6
64680,27.70,53.7
64740,27.66,53.8
64800,27.65,53.8
64860,27.64,53.8
64920,27.62,53.8
64980,27.61,53.8
65040,27.60,53.8
65100,27.59,53.8
65160,27.58,53.8
65220,27.57,53.8
65280,27.55,53.8
65340,27.54,53.8
65400,27.53,53.8
65460,27.52,53.8
65520,27.51,53.8
65580,27.50,53.8
65640,27.49,53.8
65700,27.47,53.8
65760,27.46,53.8
65820,27.45,53.8
65880,27.44,53.8
65940,27.43,53.8
66000,27.42,53.8
66060,27.41,53.8
66120,27.40,53.8
66180,27.39,53.8
66240,27.38,53.8
66300,27.37,53.8
66360,27.36,53.8
66420,27.35,53.8
66480,27.34,53.8
66540,27.30,53.9
66600,27.15,54.4
66660,26.99,54.9
66720,26.83,55.4
66780,26.68,55.9
66840,26.52,56.4
66900,26.36,56.9
66960,26.21,57.5
67020,26.05,58.0
67080,25.89,58.5
67140,25.74,59.0
67200,25.58,59.5
67260,25.43,60.0
67320,25.27,60.5
67380,25.11,61.1
67440,24.96,61.6
67500,24.80,62.1
67560,24.65,62.6
67620,24.49,63.2
67680,24.33,63.7
67740,24.18,64.2
67800,24.02,64.7
67860,23.87,65.2
67920,23.71,65.8
67980,23.56,66.3
68040,23.40,66.8
68100,23.25,67.4
68160,23.09,67.9
68220,22.94,68.4
68280,25.25,100.0
68340,22.63,69.5
68400,22.48,70.0
68460,22.22,63.9
68520,22.07,64.3
68580,21.93,64.8
68640,21.78,65.2
68700,21.64,65.7
68760,21.50,66.2
68820,21.35,66.6
68880,21.21,67.1
68940,21.06,67.3
69000,20.92,68.0
69060,20.78,68.4
69120,20.63,68.9
69180,20.49,69.4
69240,20.41,77.5
69300,20.27,78.1
69360,20.12,78.6
69420,19.97,79.2
69480,19.83,79.7
69540,19.68,80.3
69600,19.53,80.8
69660,19.36,76.5
69720,19.21,77.0
69780,19.07,77.5
69840,18.92,78.0
69900,18.78,78.5
69960,18.63,79.0
70020,18.49,79.5
70080,18.34,80.0
70140,18.21,80.4
70200,18.14,80.7
70260,18.07,81.0
70320,17.98,77.2
70380,17.91,77.4
70440,17.84,77.7
70500,17.77,78.0
70560,17.70,78.2
70620,17.63,78.5
70680,17.56,78.7
70740,17.49,79.0
70800,17.42,79.3
70860,17.35,79.5
70920,17.28,79.8
70980,17.21,80.0
71040,17.14,80.3
71100,17.07,84.9
71160,17.00,85.2
71220,16.93,85.5
71280,16.86,85.8
71340,16.79,86.1
71400,16.72,86.3
71460,16.65,86.6
71520,16.58,86.9
71580,16.51,87.2
71640,16.44,87.5
71700,16.37,87.7
71760,16.30,88.0
71820,16.23,88.3
71880,16.16,83.9
71940,16.10,84.2
72000,16.07,84.3
72060,16.05,84.8
72120,16.03,85.0
72180,16.00,85.2
72240,15.98,85.4
72300,15.96,85.6
72360,15.93,85.7
72420,15.91,85.9
72480,15.89,86.1
72540,15.86,86.3
72600,15.84,86.5
72660,15.82,97.4
72720,15.79,91.3
72780,15.77,91.5
72840,15.75,91.7
72900,15.72,91.8
72960,15.70,92.0
73020,15.68,92.2
73080,15.65,92.4
73140,15.63,92.6
73200,15.61,92.8
73260,15.58,93.0
73320,15.56,93.1
73380,15.54,93.3
73440,15.51,88.7
73500,15.49,88.8
73560,15.47,89.0
73620,15.44,89.2
73680,15.42,89.4
73740,15.39,89.5
73800,15.36,89.6
73860,15.32,89.6
73920,15.28,89.6
73980,15.25,89.7
74040,15.21,89.7
74100,15.17,89.8
74160,15.14,89.8
74220,15.10,94.8
74280,15.06,94.9
74340,15.03,94.9
74400,14.99,95.0
74460,14.95,95.0
74520,14.92,95.1
74580,14.88,95.1
74640,14.84,95.2
74700,14.81,95.2
74760,14.77,95.3
74820,14.73,95.3
74880,14.70,95.4
74940,14.66,95.4
75000,14.62,90.3
75060,14.59,90.4
75120,14.55,90.4
