t_s,T_in_C,RH_in_pct
23640,23.08,76.6
23700,23.22,76.1
23760,23.37,75.7
23820,23.51,75.2
23880,23.65,74.7
23940,23.79,74.2
24000,23.94,73.7
24060,24.08,73.2
24120,24.22,72.7
24180,24.37,72.3
24240,24.51,71.8
24300,24.65,71.3
24360,24.80,70.8
24420,24.94,70.3
24480,25.09,69.9
24540,25.23,69.4
24600,25.37,68.9
24660,25.52,68.4
24720,25.66,67.9
24780,25.81,67.5
24840,25.95,67.0
24900,26.09,66.5
24960,26.24,66.0
25020,26.38,65.6
25080,26.53,65.1
25140,26.67,64.6
25200,26.75,64.4
25260,26.77,64.3
25320,26.78,64.2
25380,26.80,64.2
25440,26.82,64.1
25500,26.83,64.1
25560,26.85,64.0
25620,26.87,64.0
25680,26.88,63.9
25740,26.90,63.9
25800,26.92,63.8
25860,26.94,63.7
25920,26.95,63.7
25980,26.97,63.6
26040,26.99,63.6
26100,27.01,63.5
26160,27.02,63.4
26220,27.04,63.4
26280,27.06,63.3
26340,27.08,63.3
26400,27.09,63.2
26460,27.11,63.2
26520,27.13,63.1
26580,27.15,63.0
26640,27.17,63.0
26700,27.18,62.9
26760,27.20,62.9
26820,27.22,62.8
26880,27.24,62.7
26940,27.26,62.7
27000,27.28,62.6
27060,27.29,62.5
27120,27.31,62.5
27180,27.33,62.4
27240,27.35,62.4
27300,27.37,62.3
27360,27.39,62.2
27420,27.41,62.2
27480,27.43,62.1
27540,27.44,62.0
27600,27.46,62.0
27660,27.48,61.9
27720,27.50,61.9
27780,27.52,61.8
27840,27.54,61.7
27900,27.56,61.7
27960,27.58,61.6
28020,27.60,61.5
28080,27.62,61.5
28140,27.64,61.4
28200,27.66,61.3
28260,27.68,61.3
28320,27.70,61.2
28380,27.72,61.1
28440,27.74,61.1
28500,27.76,61.0
28560,27.78,61.0
28620,27.80,60.9
28680,27.82,60.8
28740,27.84,60.8
28800,27.86,60.6
28860,27.89,60.5
28920,27.92,60.4
28980,27.95,60.2
29040,27.98,60.1
29100,28.00,60.0
29160,27.74,57.9
29220,27.77,57.8
29280,27.79,57.6
29340,27.81,57.5
29400,27.84,57.4
29460,27.86,57.3
29520,27.89,57.2
29580,27.91,57.0
29640,27.94,56.9
29700,27.96,56.8
29760,27.99,56.7
29820,28.35,58.3
29880,28.38,58.1
29940,28.41,58.0
30000,28.44,57.9
30060,28.47,57.7
30120,28.50,57.6
30180,28.53,57.5
30240,28.56,57.3
30300,28.59,57.2
30360,28.62,57.0
30420,28.65,56.9
30480,28.29,55.2
30540,28.31,55.1
30600,28.34,55.1
30660,28.36,55.1
30720,28.39,55.2
30780,28.41,55.3
30840,28.44,55.4
30900,28.46,55.4
30960,28.49,55.5
31020,28.51,55.6
31080,28.54,55.6
31140,28.56,55.7
31200,28.59,55.8
31260,28.61,55.8
31320,28.64,55.9
31380,28.66,56.0
31440,28.69,56.0
31500,28.72,56.1
31560,28.74,56.2
31620,28.77,56.3
31680,28.79,56.3
31740,28.82,56.4
31800,28.84,56.5
31860,28.87,56.5
31920,28.89,56.6
31980,28.92,56.7
32040,28.94,56.7
32100,28.97,56.8
32160,28.99,56.9
32220,29.02,56.9
32280,29.05,57.0
32340,29.07,57.1
32400,29.10,57.1
32460,29.12,57.0
32520,29.15,56.9
32580,29.17,56.8
32640,29.20,56.6
32700,29.22,56.5
32760,29.25,56.4
32820,29.27,56.3
32880,29.30,56.2
32940,29.32,56.1
33000,29.35,56.0
33060,29.37,55.9
33120,29.40,55.8
33180,29.43,55.7
33240,29.45,55.6
33300,29.48,55.5
33360,29.50,55.4
33420,29.53,55.3
33480,29.55,55.2
33540,29.58,55.1
33600,29.60,55.0
33660,29.63,54.9
33720,29.65,54.8
33780,29.68,54.7
33840,29.70,54.6
33900,29.73,54.5
33960,29.76,54.4
34020,29.78,54.3
34080,29.81,54.2
34140,29.83,54.1
34200,29.84,54.1
34260,29.79,54.1
34320,29.73,54.2
34380,29.68,54.3
34440,29.62,54.4
34500,29.57,54.5
34560,29.51,54.6
34620,29.46,54.7
34680,29.40,54.8
34740,29.35,54.8
34800,29.29,54.9
34860,29.24,55.0
34920,29.18,55.1
34980,29.13,55.2
35040,29.07,55.3
35100,29.02,55.4
35160,28.96,55.5
35220,28.91,55.5
35280,28.85,55.6
35340,28.80,55.7
35400,28.74,55.8
35460,28.69,55.9
35520,28.63,56.0
35580,28.58,56.1
35640,28.52,56.2
35700,28.47,56.2
35760,28.41,56.3
35820,28.36,56.4
35880,28.30,56.5
35940,28.25,56.6
36000,28.20,56.7
36060,28.16,56.8
36120,28.12,56.8
36180,28.09,56.9
36240,28.05,57.0
36300,28.01,57.1
36360,27.97,57.2
36420,28.84,57.0
36480,28.80,57.1
36540,28.77,57.1
36600,28.74,57.2
36660,28.71,57.3
36720,28.67,57.3
36780,28.64,57.4
36840,28.61,57.5
36900,28.57,57.5
36960,28.54,57.6
37020,28.51,57.7
37080,27.52,58.1
37140,27.48,58.2
37200,27.44,58.3
37260,27.40,58.4
37320,27.36,58.4
37380,27.33,58.5
37440,27.29,58.6
37500,27.25,58.7
37560,27.21,58.8
37620,27.17,58.8
37680,27.13,58.9
37740,28.11,58.4
37800,28.18,58.2
37860,28.34,57.8
37920,28.49,57.4
37980,28.65,57.0
38040,28.81,56.6
38100,28.97,56.2
38160,29.13,55.8
38220,29.29,55.4
38280,29.45,55.0
38340,29.61,54.6
38400,28.70,55.0
38460,28.86,54.6
38520,29.01,54.2
38580,29.17,53.8
38640,29.32,53.5
38700,29.48,53.1
38760,29.63,52.7
38820,29.79,52.3
38880,29.94,51.9
38940,30.09,51.6
39000,30.25,51.2
39060,30.40,50.8
39120,29.72,51.0
39180,29.87,50.7
39240,30.02,50.3
39300,30.17,49.9
39360,30.32,49.6
39420,30.47,49.2
39480,30.62,48.8
39540,30.77,48.5
39600,30.82,48.3
39660,30.74,48.5
39720,30.66,48.6
39780,30.58,48.8
39840,30.51,49.0
39900,30.43,49.1
39960,30.35,49.3
40020,30.27,49.4
40080,30.19,49.6
40140,30.11,49.8
40200,30.03,49.9
40260,29.95,50.1
40320,29.88,50.2
40380,29.80,50.4
40440,30.63,49.8
40500,30.55,49.9
40560,30.47,50.1
40620,30.40,50.2
40680,30.32,50.4
40740,30.24,50.5
40800,30.17,50.7
40860,30.09,50.8
40920,30.02,51.0
40980,29.94,51.1
41040,29.86,51.3
41100,29.79,51.5
41160,29.71,51.6
41220,29.63,51.8
41280,29.56,51.9
41340,29.48,52.1
41400,29.42,52.2
41460,29.37,52.4
41520,29.32,52.5
41580,29.27,52.7
41640,29.22,52.8
41700,29.17,52.9
41760,29.12,53.1
41820,29.07,53.2
41880,29.02,53.4
41940,28.97,53.5
42000,28.92,53.7
42060,28.87,53.8
42120,28.82,54.0
42180,28.77,54.1
42240,28.72,54.3
42300,28.67,54.4
42360,28.61,54.6
42420,28.56,54.7
42480,28.51,54.9
42540,28.46,55.0
42600,28.41,55.2
42660,28.36,55.3
42720,28.31,55.5
42780,28.26,55.6
42840,28.21,55.8
42900,28.16,55.9
42960,28.11,56.1
43020,28.06,56.2
43080,28.01,56.4
43140,27.96,56.5
43200,29.35,54.8
43260,29.48,54.5
43320,29.62,54.3
43380,29.75,54.0
43440,29.89,53.7
43500,30.02,53.5
43560,30.16,53.2
43620,30.29,52.9
43680,28.10,55.6
43740,28.23,55.3
43800,28.36,55.0
43860,28.42,54.9
43920,28.55,54.6
43980,28.68,54.4
44040,28.81,54.1
44100,28.95,53.9
44160,29.08,53.6
44220,29.21,53.3
44280,29.34,53.1
44340,29.47,52.8
44400,29.60,52.6
44460,30.77,51.0
44520,30.90,50.8
44580,31.04,50.5
44640,31.17,50.3
44700,31.30,50.0
44760,31.43,49.8
44820,31.56,49.5
44880,31.69,49.3
44940,31.82,49.0
45000,31.91,48.9
45060,31.95,48.8
45120,31.99,48.7
45180,32.03,48.7
45240,31.02,49.9
45300,31.06,49.9
45360,31.10,49.8
45420,31.14,49.7
45480,31.18,49.7
45540,31.22,49.6
45600,31.26,49.6
45660,31.30,49.5
45720,31.34,49.5
45780,31.38,49.4
45840,31.42,49.3
45900,31.46,49.3
45960,31.50,49.2
46020,31.54,49.2
46080,31.58,49.1
46140,31.62,49.1
46200,31.66,49.0
46260,31.70,48.9
46320,31.74,48.9
46380,31.78,48.8
46440,31.82,48.8
46500,31.86,48.7
46560,31.90,48.7
46620,31.94,48.6
46680,31.98,48.5
46740,32.02,48.5
46800,32.04,48.5
46860,32.04,48.4
46920,32.03,48.4
46980,32.03,48.4
47040,32.03,48.4
47100,32.02,48.4
47160,32.02,48.4
47220,32.01,48.4
47280,32.01,48.4
47340,32.01,48.4
47400,32.00,48.4
47460,32.00,48.3
47520,32.00,48.3
47580,31.99,48.3
47640,31.99,48.3
47700,31.99,48.3
47760,31.98,48.3
47820,31.98,48.3
47880,31.98,48.3
47940,31.97,48.3
48000,31.97,48.3
48060,31.97,48.3
48120,31.96,48.2
48180,31.96,48.2
48240,31.96,48.2
48300,31.95,48.2
48360,31.95,48.2
48420,31.94,48.2
48480,31.94,48.2
48540,31.94,48.2
48600,31.91,48.2
