t_s,T_in_C,RH_in_pct
44880,34.03,34.3
44940,34.13,34.0
45000,34.23,33.7
45060,34.17,33.8
45120,34.11,33.9
45180,34.05,34.0
45240,33.98,34.0
45300,33.92,34.1
45360,33.86,34.2
45420,33.79,34.3
45480,33.73,34.4
45540,33.67,34.5
45600,33.60,34.6
45660,33.54,34.7
45720,33.48,34.8
45780,33.41,34.9
45840,33.35,35.0
45900,33.29,35.1
45960,33.23,35.2
46020,33.16,35.3
46080,33.10,35.3
46140,33.04,35.4
46200,32.97,35.5
46260,32.91,35.6
46320,32.85,35.7
46380,32.78,35.8
46440,32.72,35.9
46500,32.66,36.0
46560,32.59,36.1
46620,32.53,36.2
46680,32.47,36.3
46740,32.40,36.4
46800,32.34,36.5
46860,32.36,36.3
46920,32.37,36.2
46980,32.39,36.1
47040,32.41,36.0
47100,32.42,35.9
47160,32.44,35.8
47220,32.46,35.6
47280,32.47,35.5
47340,32.49,35.4
47400,32.51,35.3
47460,32.52,35.2
47520,32.54,35.1
47580,32.56,34.9
47640,32.57,34.8
47700,32.59,34.7
47760,32.61,34.6
47820,32.62,34.5
47880,32.64,34.3
47940,32.66,34.2
48000,32.67,34.1
48060,32.69,34.0
48120,32.70,33.9
48180,32.72,33.8
48240,32.74,33.6
48300,32.75,33.5
48360,32.77,33.4
48420,32.79,33.3
48480,32.80,33.2
48540,32.82,33.1
48600,32.83,32.9
48660,32.83,33.0
48720,32.83,33.0
48780,32.82,33.0
48840,32.82,33.1
48900,32.82,33.1
48960,32.81,33.1
49020,32.81,33.2
49080,32.80,33.2
49140,32.80,33.2
49200,32.80,33.3
49260,32.79,33.3
49320,32.79,33.3
49380,32.79,33.4
49440,32.78,33.4
49500,32.78,33.5
49560,32.77,33.5
49620,32.77,33.5
49680,32.77,33.6
49740,32.76,33.6
49800,32.76,33.6
49860,32.75,33.7
49920,32.75,33.7
49980,32.75,33.7
50040,32.74,33.8
50100,32.74,33.8
50160,32.73,33.8
50220,32.73,33.9
50280,32.73,33.9
50340,32.72,33.9
50400,32.72,34.0
50460,32.68,34.0
50520,32.65,34.1
50580,32.62,34.1
50640,32.58,34.2
50700,32.55,34.2
50760,32.51,34.3
50820,32.48,34.4
50880,32.45,34.4
50940,32.41,34.5
51000,32.38,34.5
51060,32.34,34.6
51120,32.31,34.6
51180,32.27,34.7
51240,32.24,34.8
51300,32.21,34.8
51360,32.17,34.9
51420,32.14,34.9
51480,32.10,35.0
51540,32.07,35.0
51600,32.03,35.1
51660,32.00,35.2
51720,31.97,35.2
51780,31.93,35.3
51840,31.90,35.3
51900,31.86,35.4
51960,31.83,35.4
52020,31.79,35.5
52080,31.76,35.6
52140,31.73,35.6
52200,31.69,35.7
52260,31.66,35.7
52320,31.62,35.8
52380,31.59,35.9
52440,31.55,35.9
52500,31.52,36.0
52560,31.49,36.0
52620,31.45,36.1
52680,31.42,36.1
52740,31.38,36.2
52800,31.35,36.3
52860,31.31,36.3
52920,31.28,36.4
52980,31.24,36.4
53040,31.21,36.5
53100,31.18,36.5
53160,31.14,36.6
53220,31.11,36.7
53280,31.07,36.7
53340,31.04,36.8
53400,31.00,36.8
53460,30.97,36.9
53520,30.93,37.0
53580,30.90,37.0
53640,30.86,37.1
53700,30.83,37.1
53760,30.80,37.2
53820,30.76,37.3
53880,30.73,37.3
53940,30.69,37.4
54000,30.66,37.4
54060,30.62,37.5
54120,30.59,37.5
54180,30.55,37.6
54240,30.52,37.7
54300,30.48,37.7
54360,30.45,37.8
54420,30.41,37.8
54480,30.38,37.9
54540,30.34,38.0
54600,30.31,38.0
54660,30.28,38.1
54720,30.24,38.1
54780,30.21,38.2
54840,30.17,38.3
54900,30.14,38.3
54960,30.10,38.4
55020,30.07,38.4
55080,30.03,38.5
55140,30.00,38.5
55200,29.96,38.6
55260,29.93,38.7
55320,30.69,38.8
55380,30.65,38.9
55440,30.61,39.0
55500,30.57,39.0
55560,30.53,39.1
55620,30.50,39.2
55680,30.46,39.2
55740,30.42,39.3
55800,30.38,39.4
55860,30.36,39.4
55920,30.33,39.4
55980,30.31,39.5
56040,30.28,39.5
56100,29.51,39.3
56160,29.49,39.3
56220,29.46,39.4
56280,29.44,39.4
56340,29.42,39.4
56400,29.40,39.4
56460,29.38,39.5
56520,29.36,39.5
56580,29.34,39.5
56640,29.31,39.5
56700,29.29,39.6
56760,29.27,39.6
56820,29.25,39.6
56880,29.93,40.0
56940,29.90,40.0
57000,29.88,40.1
57060,29.85,40.1
57120,29.82,40.1
57180,29.80,40.2
57240,29.77,40.2
57300,29.75,40.2
57360,29.72,40.3
57420,29.70,40.3
57480,29.67,40.3
57540,29.65,40.4
57600,29.62,40.4
57660,29.59,40.7
57720,29.55,40.9
57780,29.51,41.2
57840,29.48,41.4
57900,29.44,41.7
57960,29.41,41.9
58020,29.37,42.2
58080,29.34,42.4
58140,29.30,42.7
58200,29.27,42.9
58260,29.23,43.2
58320,29.19,43.4
58380,29.16,43.7
58440,29.12,43.9
58500,29.09,44.2
58560,29.05,44.4
58620,29.02,44.7
58680,28.98,44.9
58740,28.95,45.2
58800,28.91,45.4
58860,28.87,45.7
58920,28.84,45.9
58980,28.80,46.2
59040,28.77,46.4
59100,28.73,46.7
59160,28.70,46.9
59220,28.66,47.2
59280,28.62,47.4
59340,28.59,47.7
59400,28.55,47.9
59460,28.52,47.9
59520,28.50,47.8
59580,28.47,47.7
59640,28.44,47.7
59700,28.41,47.6
59760,28.38,47.5
59820,28.35,47.5
59880,28.32,47.4
59940,28.29,47.3
60000,28.26,47.3
60060,28.24,47.2
60120,28.21,47.1
60180,28.18,47.1
60240,28.15,47.0
60300,28.12,46.9
60360,28.09,46.8
60420,28.06,46.8
60480,28.03,46.7
60540,28.01,46.6
60600,27.98,46.6
60660,28.55,47.7
60720,28.51,47.7
60780,28.48,47.6
60840,28.44,47.6
60900,28.41,47.5
60960,28.38,47.5
